id,name,type,region,province,city,address,postal_code,phone,email,appointment_method,appointment_url,source_url,official_list_url,source_date,verified_at,verification_status,notes
comisaria-tui,Comisaría Policía Nacional — Tui,police_station,Galicia,Pontevedra,Tui,,,+34986619703,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-vigo,Comisaría Policía Nacional — Vigo,police_station,Galicia,Pontevedra,Vigo,,,+34986820687,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-logrono,Comisaría Policía Nacional — Logroño,police_station,La Rioja,La Rioja,Logroño,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-melilla,Comisaría Policía Nacional — Melilla,police_station,Melilla,Melilla,Melilla,,,+34952696391,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-cartagena,Comisaría Policía Nacional — Cartagena,police_station,Región de Murcia,Murcia,Cartagena,,,+34968321285,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-alcantarilla,Comisaría Policía Nacional — Alcantarilla,police_station,Región de Murcia,Murcia,Alcantarilla,,,+34968801100,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-yecla,Comisaría Policía Nacional — Yecla,police_station,Región de Murcia,Murcia,Yecla,,,+34968751302,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-lorca,Comisaría Policía Nacional — Lorca,police_station,Región de Murcia,Murcia,Lorca,,,+34968477278,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-molina-de-segura,Comisaría Policía Nacional — Molina de Segura,police_station,Región de Murcia,Murcia,Molina de Segura,,,+34968386303,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-murcia,Comisaría Policía Nacional — Murcia,police_station,Región de Murcia,Murcia,Murcia,,,+34968889605,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-tudela,Comisaría Policía Nacional — Tudela,police_station,Navarra,Navarra,Tudela,,,+34948827450,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-pamplona,Comisaría Policía Nacional — Pamplona,police_station,Navarra,Navarra,Pamplona,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-bilbao,Comisaría Policía Nacional — Bilbao,police_station,País Vasco,Bizkaia,Bilbao,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-san-sebastian,Comisaría Policía Nacional — San Sebastián,police_station,País Vasco,Gipuzkoa,San Sebastián,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-vitoria-gasteiz,Comisaría Policía Nacional — Vitoria-Gasteiz,police_station,País Vasco,Araba/Álava,Vitoria-Gasteiz,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
